right_team,left_team,cycle,mode,ball_x,ball_y,right_team_score,opp_player_0_unum,opp_player_0_x,opp_player_0_y,opp_player_0_kick,opp_player_0_shoot,opp_player_1_unum,opp_player_1_x,opp_player_1_y,opp_player_1_kick,opp_player_1_shoot,opp_player_2_unum,opp_player_2_x,opp_player_2_y,opp_player_2_kick,opp_player_2_shoot,opp_player_3_unum,opp_player_3_x,opp_player_3_y,opp_player_3_kick,opp_player_3_shoot,opp_player_4_unum,opp_player_4_x,opp_player_4_y,opp_player_4_kick,opp_player_4_shoot,opp_player_5_unum,opp_player_5_x,opp_player_5_y,opp_player_5_kick,opp_player_5_shoot
RoboCIn,ma,4436,play_on,-32.5539,10.5053,1,11,-30.2772,11.7361,0,0,9,-30.276,16.1768,0,0,10,-31.4516,0.4037,0,0,7,-22.2356,15.1118,0,0,8,-25.921,-3.6735,0,0,6,-16.1653,17.5402,0,0
RoboCIn,ma,4437,play_on,-33.412,10.0919,1,11,-30.9873,11.3218,0,0,9,-30.8396,16.0647,0,0,10,-31.5135,0.4072,0,0,7,-22.9997,15.0725,0,0,8,-26.4028,-3.5385,0,0,6,-16.1829,17.4354,0,0
RoboCIn,ma,4438,play_on,-34.2182,9.7037,1,11,-31.8191,10.8283,0,0,9,-31.5416,15.9014,0,0,10,-32.0281,0.2016,0,0,7,-23.7451,15.0416,0,0,8,-27.1035,-3.3721,0,0,6,-16.208,17.3075,0,0
RoboCIn,ma,4439,play_on,-34.9785,9.3413,1,11,-32.7239,10.4009,0,0,9,-32.3774,15.7071,0,0,10,-32.7364,-0.1288,0,0,7,-24.5376,15.0239,0,0,8,-27.821,-3.1611,0,0,6,-16.2383,17.1661,0,0
RoboCIn,ma,4440,play_on,-35.6631,8.9974,1,11,-33.6442,9.9712,0,0,9,-33.2059,15.528,0,0,10,-33.5277,-0.4893,0,0,7,-25.3276,15.0008,0,0,8,-28.5341,-2.9427,0,0,6,-16.2707,17.0201,0,0
RoboCIn,ma,4441,play_on,-36.3111,8.6856,1,11,-34.5355,9.4382,0,0,9,-34.0871,15.3484,0,0,10,-34.3798,-0.8325,0,0,7,-25.615,14.9949,0,0,8,-29.2569,-2.7569,0,0,6,-16.2986,16.8879,0,0
RoboCIn,ma,4442,play_on,-36.9278,8.4101,1,11,-35.4733,8.988,0,0,9,-34.9962,15.1925,0,0,10,-35.2693,-1.0962,0,0,7,-25.7188,14.9844,0,0,8,-30.0416,-2.6428,0,0,6,-16.3168,16.7429,0,0
RoboCIn,ma,4443,play_on,-37.5132,8.1719,1,11,-36.3231,8.57,0,0,9,-35.9057,15.0119,0,0,10,-36.1421,-1.421,0,0,8,-30.8685,-2.4905,0,0,7,-26.2352,14.9457,0,0,6,-16.339,16.5996,0,0
RoboCIn,ma,4444,play_on,-38.0651,7.931,1,11,-37.2288,8.131,1,1,9,-36.248,14.9403,0,0,10,-36.5425,-1.5955,0,0,8,-31.6571,-2.3257,0,0,7,-26.9403,14.902,0,0,6,-16.3618,16.4668,0,0
RoboCIn,ma,4445,play_on,-37.6184,7.0409,1,11,-37.6456,7.9692,1,1,9,-36.8168,15.0783,0,0,10,-36.9646,-1.7053,0,0,8,-32.4344,-2.1105,0,0,7,-27.7055,14.8235,0,0,6,-16.3843,16.3373,0,0
